,Player 1,Player 1 ID,Player 2,Player 2 ID,Set Score,Game Score,Point Score,Serving?
0,Djokovic N.,104925,Berdych T.,104607,0-0,2-1,15-30,Returning
1,Djokovic N.,104925,Berdych T.,104607,0-0,2-1,15-40,Returning
2,Djokovic N.,104925,Berdych T.,104607,0-0,2-1,30-40,Returning
3,Djokovic N.,104925,Berdych T.,104607,0-0,2-2,0-0,Serving
4,Djokovic N.,104925,Berdych T.,104607,0-0,2-2,0-15,Serving
5,Djokovic N.,104925,Berdych T.,104607,0-0,2-2,0-30,Serving
6,Djokovic N.,104925,Berdych T.,104607,0-0,2-2,15-30,Serving
7,Djokovic N.,104925,Berdych T.,104607,0-0,2-2,30-30,Serving
8,Djokovic N.,104925,Berdych T.,104607,0-0,2-2,30-40,Serving
9,Djokovic N.,104925,Berdych T.,104607,0-0,2-2,40-40,Serving
10,Djokovic N.,104925,Berdych T.,104607,0-0,2-2,A-40,Serving
11,Djokovic N.,104925,Berdych T.,104607,0-0,2-2,40-40,Serving
12,Djokovic N.,104925,Berdych T.,104607,0-0,2-2,A-40,Serving
13,Djokovic N.,104925,Berdych T.,104607,0-0,3-2,0-0,Returning
14,Djokovic N.,104925,Berdych T.,104607,0-0,3-2,0-15,Returning
15,Djokovic N.,104925,Berdych T.,104607,0-0,3-2,0-30,Returning
16,Djokovic N.,104925,Berdych T.,104607,0-0,3-2,15-30,Returning
17,Djokovic N.,104925,Berdych T.,104607,0-0,3-2,30-30,Returning
18,Djokovic N.,104925,Berdych T.,104607,0-0,3-2,40-30,Returning
19,Djokovic N.,104925,Berdych T.,104607,0-0,4-2,0-0,Serving
20,Djokovic N.,104925,Berdych T.,104607,0-0,4-2,15-0,Serving
21,Djokovic N.,104925,Berdych T.,104607,0-0,4-2,30-0,Serving
22,Djokovic N.,104925,Berdych T.,104607,0-0,4-2,30-15,Serving
23,Djokovic N.,104925,Berdych T.,104607,0-0,4-2,30-30,Serving
24,Djokovic N.,104925,Berdych T.,104607,0-0,4-2,30-40,Serving
25,Djokovic N.,104925,Berdych T.,104607,0-0,4-2,40-40,Serving
26,Djokovic N.,104925,Berdych T.,104607,0-0,4-2,A-40,Serving
27,Djokovic N.,104925,Berdych T.,104607,0-0,4-2,40-40,Serving
28,Djokovic N.,104925,Berdych T.,104607,0-0,4-2,40-A,Serving
29,Djokovic N.,104925,Berdych T.,104607,0-0,4-2,40-40,Serving
30,Djokovic N.,104925,Berdych T.,104607,0-0,4-2,A-40,Serving
31,Djokovic N.,104925,Berdych T.,104607,0-0,5-2,0-0,Returning
32,Djokovic N.,104925,Berdych T.,104607,0-0,5-2,0-15,Returning
33,Djokovic N.,104925,Berdych T.,104607,0-0,5-2,15-15,Returning
34,Djokovic N.,104925,Berdych T.,104607,0-0,5-2,15-30,Returning
35,Djokovic N.,104925,Berdych T.,104607,0-0,5-2,15-40,Returning
36,Djokovic N.,104925,Berdych T.,104607,0-0,5-3,0-0,Serving
37,Djokovic N.,104925,Berdych T.,104607,0-0,5-3,15-0,Serving
38,Djokovic N.,104925,Berdych T.,104607,0-0,5-3,15-15,Serving
