,Player 1,Player 1 ID,Player 2,Player 2 ID,Set Score,Game Score,Point Score,Serving?
0,Anderson K.,104731,Wawrinka S.,104527,0-1,2-2,30-30,Returning
1,Anderson K.,104731,Wawrinka S.,104527,0-1,2-2,30-40,Returning
2,Anderson K.,104731,Wawrinka S.,104527,0-1,2-3,0-0,Serving
3,Anderson K.,104731,Wawrinka S.,104527,0-1,2-3,15-0,Serving
4,Anderson K.,104731,Wawrinka S.,104527,0-1,2-3,15-15,Serving
5,Anderson K.,104731,Wawrinka S.,104527,0-1,2-3,30-15,Serving
6,Anderson K.,104731,Wawrinka S.,104527,0-1,2-3,40-15,Serving
7,Anderson K.,104731,Wawrinka S.,104527,0-1,3-3,0-0,Returning
8,Anderson K.,104731,Wawrinka S.,104527,0-1,3-3,0-15,Returning
9,Anderson K.,104731,Wawrinka S.,104527,0-1,3-3,0-30,Returning
10,Anderson K.,104731,Wawrinka S.,104527,0-1,3-3,0-40,Returning
11,Anderson K.,104731,Wawrinka S.,104527,0-1,3-3,15-40,Returning
12,Anderson K.,104731,Wawrinka S.,104527,0-1,3-4,0-0,Serving
13,Anderson K.,104731,Wawrinka S.,104527,0-1,3-4,0-15,Serving
14,Anderson K.,104731,Wawrinka S.,104527,0-1,3-4,15-15,Serving
15,Anderson K.,104731,Wawrinka S.,104527,0-1,3-4,15-30,Serving
16,Anderson K.,104731,Wawrinka S.,104527,0-1,3-4,30-30,Serving
17,Anderson K.,104731,Wawrinka S.,104527,0-1,3-4,30-40,Serving
18,Anderson K.,104731,Wawrinka S.,104527,0-1,3-4,40-40,Serving
19,Anderson K.,104731,Wawrinka S.,104527,0-1,3-4,40-A,Serving
20,Anderson K.,104731,Wawrinka S.,104527,0-1,3-5,0-0,Returning
21,Anderson K.,104731,Wawrinka S.,104527,0-1,3-5,15-0,Returning
22,Anderson K.,104731,Wawrinka S.,104527,0-1,3-5,15-15,Returning
23,Anderson K.,104731,Wawrinka S.,104527,0-1,3-5,15-30,Returning
24,Anderson K.,104731,Wawrinka S.,104527,0-1,3-5,15-40,Returning
