,Player 1,Player 1 ID,Player 2,Player 2 ID,Set Score,Game Score,Point Score,Serving?
0,Dimitrov G.,105777,Nishikori K.,105453,0-1,1-0,A-40,Serving
1,Dimitrov G.,105777,Nishikori K.,105453,0-1,2-0,0-0,Returning
2,Dimitrov G.,105777,Nishikori K.,105453,0-1,2-0,15-0,Returning
3,Dimitrov G.,105777,Nishikori K.,105453,0-1,2-0,15-15,Returning
4,Dimitrov G.,105777,Nishikori K.,105453,0-1,2-0,30-15,Returning
5,Dimitrov G.,105777,Nishikori K.,105453,0-1,2-0,30-30,Returning
6,Dimitrov G.,105777,Nishikori K.,105453,0-1,2-0,30-40,Returning
7,Dimitrov G.,105777,Nishikori K.,105453,0-1,2-0,A-40,Returning
8,Dimitrov G.,105777,Nishikori K.,105453,0-1,2-0,40-40,Returning
9,Dimitrov G.,105777,Nishikori K.,105453,0-1,2-0,40-A,Returning
10,Dimitrov G.,105777,Nishikori K.,105453,0-1,2-1,0-0,Serving
11,Dimitrov G.,105777,Nishikori K.,105453,0-1,2-1,0-15,Serving
12,Dimitrov G.,105777,Nishikori K.,105453,0-1,2-1,15-15,Serving
13,Dimitrov G.,105777,Nishikori K.,105453,0-1,2-1,15-30,Serving
14,Dimitrov G.,105777,Nishikori K.,105453,0-1,2-1,30-30,Serving
15,Dimitrov G.,105777,Nishikori K.,105453,0-1,2-1,30-40,Serving
16,Dimitrov G.,105777,Nishikori K.,105453,0-1,2-1,40-40,Serving
17,Dimitrov G.,105777,Nishikori K.,105453,0-1,2-1,A-40,Serving
18,Dimitrov G.,105777,Nishikori K.,105453,0-1,2-1,40-40,Serving
19,Dimitrov G.,105777,Nishikori K.,105453,0-1,2-1,A-40,Serving
20,Dimitrov G.,105777,Nishikori K.,105453,0-1,3-1,0-0,Returning
21,Dimitrov G.,105777,Nishikori K.,105453,0-1,3-1,15-0,Returning
22,Dimitrov G.,105777,Nishikori K.,105453,0-1,3-1,30-0,Returning
23,Dimitrov G.,105777,Nishikori K.,105453,0-1,3-1,30-15,Returning
24,Dimitrov G.,105777,Nishikori K.,105453,0-1,3-1,40-15,Returning
