,Player 1,Player 1 ID,Player 2,Player 2 ID,Set Score,Game Score,Point Score,Serving?
25,Dimitrov G.,105777,Nishikori K.,105453,0-1,3-1,40-30,Returning
26,Dimitrov G.,105777,Nishikori K.,105453,0-1,3-1,40-40,Returning
27,Dimitrov G.,105777,Nishikori K.,105453,0-1,3-1,40-A,Returning
28,Dimitrov G.,105777,Nishikori K.,105453,0-1,3-2,0-0,Serving
29,Dimitrov G.,105777,Nishikori K.,105453,0-1,3-2,15-0,Serving
30,Dimitrov G.,105777,Nishikori K.,105453,0-1,3-2,30-0,Serving
31,Dimitrov G.,105777,Nishikori K.,105453,0-1,3-2,30-15,Serving
32,Dimitrov G.,105777,Nishikori K.,105453,0-1,3-2,40-15,Serving
33,Dimitrov G.,105777,Nishikori K.,105453,0-1,4-2,0-0,Returning
34,Dimitrov G.,105777,Nishikori K.,105453,0-1,4-2,0-15,Returning
35,Dimitrov G.,105777,Nishikori K.,105453,0-1,4-2,15-15,Returning
36,Dimitrov G.,105777,Nishikori K.,105453,0-1,4-2,15-30,Returning
37,Dimitrov G.,105777,Nishikori K.,105453,0-1,4-2,15-40,Returning
38,Dimitrov G.,105777,Nishikori K.,105453,0-1,4-3,0-0,Serving
39,Dimitrov G.,105777,Nishikori K.,105453,0-1,4-3,15-0,Serving
40,Dimitrov G.,105777,Nishikori K.,105453,0-1,4-3,15-15,Serving
41,Dimitrov G.,105777,Nishikori K.,105453,0-1,4-3,30-15,Serving
42,Dimitrov G.,105777,Nishikori K.,105453,0-1,4-3,30-30,Serving
43,Dimitrov G.,105777,Nishikori K.,105453,0-1,4-3,30-40,Serving
44,Dimitrov G.,105777,Nishikori K.,105453,0-1,4-3,40-40,Serving
45,Dimitrov G.,105777,Nishikori K.,105453,0-1,4-3,A-40,Serving
46,Dimitrov G.,105777,Nishikori K.,105453,0-1,5-3,0-0,Returning
47,Dimitrov G.,105777,Nishikori K.,105453,0-1,5-3,0-0,Serving
48,Dimitrov G.,105777,Nishikori K.,105453,0-1,5-3,0-15,Serving
49,Dimitrov G.,105777,Nishikori K.,105453,0-1,5-3,0-30,Serving
50,Dimitrov G.,105777,Nishikori K.,105453,0-1,5-3,15-30,Serving
51,Dimitrov G.,105777,Nishikori K.,105453,0-1,5-3,15-30,Returning
52,Dimitrov G.,105777,Nishikori K.,105453,0-1,5-3,30-30,Returning
53,Dimitrov G.,105777,Nishikori K.,105453,0-1,5-3,40-30,Returning
54,Dimitrov G.,105777,Nishikori K.,105453,0-1,5-3,40-40,Returning
55,Dimitrov G.,105777,Nishikori K.,105453,0-1,5-3,40-A,Returning
56,Dimitrov G.,105777,Nishikori K.,105453,0-1,5-3,40-40,Returning
57,Dimitrov G.,105777,Nishikori K.,105453,0-1,5-3,A-40,Returning
58,Dimitrov G.,105777,Nishikori K.,105453,0-1,5-3,40-40,Returning
59,Dimitrov G.,105777,Nishikori K.,105453,0-1,5-3,A-40,Returning
60,Dimitrov G.,105777,Nishikori K.,105453,1-1,0-0,0-0,Serving
61,Dimitrov G.,105777,Nishikori K.,105453,1-1,0-0,15-0,Serving
62,Dimitrov G.,105777,Nishikori K.,105453,1-1,0-0,30-0,Serving
63,Dimitrov G.,105777,Nishikori K.,105453,1-1,0-0,40-0,Serving
64,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-0,0-0,Returning
65,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-0,0-15,Returning
66,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-0,15-15,Returning
67,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-0,30-15,Returning
68,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-0,40-15,Returning
69,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-0,40-30,Returning
70,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-0,40-40,Returning
71,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-0,40-A,Returning
72,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-1,0-0,Serving
73,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-1,0-15,Serving
74,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-1,0-30,Serving
75,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-1,0-40,Serving
76,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-1,15-40,Serving
77,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-2,0-0,Returning
78,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-2,0-15,Returning
79,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-2,0-30,Returning
80,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-2,0-40,Returning
81,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-2,15-40,Returning
82,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-2,30-40,Returning
83,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-2,30-40,Serving
84,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-3,0-0,Serving
85,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-3,0-15,Serving
86,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-3,15-15,Serving
87,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-3,15-30,Serving
88,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-3,30-30,Serving
89,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-3,30-40,Serving
90,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-4,0-0,Returning
91,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-4,15-0,Returning
92,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-4,15-15,Returning
93,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-4,15-30,Returning
94,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-4,15-40,Returning
95,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-5,0-0,Serving
96,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-5,0-15,Serving
97,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-5,15-15,Serving
98,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-5,15-30,Serving
99,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-5,30-30,Serving
100,Dimitrov G.,105777,Nishikori K.,105453,1-1,1-5,40-30,Serving
101,Dimitrov G.,105777,Nishikori K.,105453,1-1,2-5,0-0,Returning
102,Dimitrov G.,105777,Nishikori K.,105453,1-1,2-5,0-15,Returning
103,Dimitrov G.,105777,Nishikori K.,105453,1-1,2-5,0-30,Returning
104,Dimitrov G.,105777,Nishikori K.,105453,1-1,2-5,0-40,Returning
