,Set Score,Game Score,Serving?,Point Score,% Win,Number of Instances,Points Elapsed,Y
84,0-0,0-2,Serving,15-40,0.164285714286,840,4,-2
85,0-0,2-0,Returning,40-15,0.835714285714,840,4,2
86,0-0,0-2,Serving,30-0,0.305019305019,1813,2,2
87,0-0,2-0,Returning,0-30,0.694980694981,1813,2,-2
88,0-0,0-2,Serving,30-15,0.264849074976,2054,3,1
89,0-0,2-0,Returning,15-30,0.735150925024,2054,3,-1
90,0-0,0-2,Serving,30-30,0.235574063058,1681,4,0
91,0-0,2-0,Returning,30-30,0.764425936942,1681,4,0
92,0-0,0-2,Serving,30-40,0.205583756345,1182,5,-1
93,0-0,2-0,Returning,40-30,0.794416243655,1182,5,1
94,0-0,0-2,Serving,40-0,0.329758713137,1119,3,3
95,0-0,2-0,Returning,0-40,0.670241286863,1119,3,-3
96,0-0,0-2,Serving,40-15,0.300661455201,1663,4,2
97,0-0,2-0,Returning,15-40,0.699338544799,1663,4,-2
98,0-0,0-2,Serving,40-30,0.260410192666,1609,5,1
99,0-0,2-0,Returning,30-40,0.739589807334,1609,5,-1
100,0-0,0-2,Serving,40-40,0.237439222042,2468,6,0
101,0-0,2-0,Returning,40-40,0.762560777958,2468,6,0
102,0-0,0-2,Serving,40-AD,0.200761179829,1051,7,-1
103,0-0,2-0,Returning,AD-40,0.799238820171,1051,7,1
104,0-0,0-2,Serving,AD-40,0.264643613267,1417,7,1
105,0-0,2-0,Returning,40-AD,0.735356386733,1417,7,-1
106,0-0,0-2,Serving,Start of Game,0.254523996853,5084,0,0
107,0-0,2-0,Returning,Start of Game,0.745476003147,5084,0,0
108,0-0,0-3,Serving,0-15,0.187836383208,1858,1,-1
109,0-0,3-0,Returning,15-0,0.812163616792,1858,1,1
110,0-0,0-3,Serving,0-30,0.175914994097,847,2,-2
111,0-0,3-0,Returning,30-0,0.824085005903,847,2,2
112,0-0,0-3,Serving,0-40,0.146634615385,416,3,-3
113,0-0,3-0,Returning,40-0,0.853365384615,416,3,3
114,0-0,0-3,Serving,15-0,0.237767893247,2473,1,1
115,0-0,3-0,Returning,0-15,0.762232106753,2473,1,-1
116,0-0,0-3,Serving,15-15,0.207509881423,2024,2,0
117,0-0,3-0,Returning,15-15,0.792490118577,2024,2,0
118,0-0,0-3,Serving,15-30,0.174796747967,1230,3,-1
119,0-0,3-0,Returning,30-15,0.825203252033,1230,3,1
120,0-0,0-3,Serving,15-40,0.151554404145,772,4,-2
121,0-0,3-0,Returning,40-15,0.848445595855,772,4,2
122,0-0,0-3,Serving,30-0,0.252054794521,1460,2,2
123,0-0,3-0,Returning,0-30,0.747945205479,1460,2,-2
124,0-0,0-3,Serving,30-15,0.227970437749,1759,3,1
125,0-0,3-0,Returning,15-30,0.772029562251,1759,3,-1
126,0-0,0-3,Serving,30-30,0.201137171286,1407,4,0
127,0-0,3-0,Returning,30-30,0.798862828714,1407,4,0
128,0-0,0-3,Serving,30-40,0.182524271845,1030,5,-1
129,0-0,3-0,Returning,40-30,0.817475728155,1030,5,1
130,0-0,0-3,Serving,40-0,0.280777537797,926,3,3
131,0-0,3-0,Returning,0-40,0.719222462203,926,3,-3
132,0-0,0-3,Serving,40-15,0.239583333333,1344,4,2
133,0-0,3-0,Returning,15-40,0.760416666667,1344,4,-2
134,0-0,0-3,Serving,40-30,0.222140762463,1364,5,1
135,0-0,3-0,Returning,30-40,0.777859237537,1364,5,-1
136,0-0,0-3,Serving,40-40,0.197094430993,2065,6,0
137,0-0,3-0,Returning,40-40,0.802905569007,2065,6,0
138,0-0,0-3,Serving,40-AD,0.161036036036,888,7,-1
139,0-0,3-0,Returning,AD-40,0.838963963964,888,7,1
140,0-0,0-3,Serving,AD-40,0.224489795918,1176,7,1
141,0-0,3-0,Returning,40-AD,0.775510204082,1176,7,-1
142,0-0,0-3,Serving,Start of Game,0.216347263911,4331,0,0
143,0-0,3-0,Returning,Start of Game,0.783652736089,4331,0,0
144,0-0,0-4,Serving,0-15,0.133333333333,585,1,-1
145,0-0,4-0,Returning,15-0,0.866666666667,585,1,1
146,0-0,0-4,Serving,0-30,0.144876325088,283,2,-2
147,0-0,4-0,Returning,30-0,0.855123674912,283,2,2
148,0-0,0-4,Serving,0-40,0.116438356164,146,3,-3
149,0-0,4-0,Returning,40-0,0.883561643836,146,3,3
150,0-0,0-4,Serving,15-0,0.131964809384,682,1,1
151,0-0,4-0,Returning,0-15,0.868035190616,682,1,-1
152,0-0,0-4,Serving,15-15,0.120603015075,597,2,0
153,0-0,4-0,Returning,15-15,0.879396984925,597,2,0
154,0-0,0-4,Serving,15-30,0.115869017632,397,3,-1
155,0-0,4-0,Returning,30-15,0.884130982368,397,3,1
156,0-0,0-4,Serving,15-40,0.0927419354839,248,4,-2
157,0-0,4-0,Returning,40-15,0.907258064516,248,4,2
158,0-0,0-4,Serving,30-0,0.142118863049,387,2,2
159,0-0,4-0,Returning,0-30,0.857881136951,387,2,-2
160,0-0,0-4,Serving,30-15,0.145748987854,494,3,1
161,0-0,4-0,Returning,15-30,0.854251012146,494,3,-1
162,0-0,0-4,Serving,30-30,0.12967032967,455,4,0
163,0-0,4-0,Returning,30-30,0.87032967033,455,4,0
164,0-0,0-4,Serving,30-40,0.109717868339,319,5,-1
165,0-0,4-0,Returning,40-30,0.890282131661,319,5,1
166,0-0,0-4,Serving,40-0,0.14347826087,230,3,3
167,0-0,4-0,Returning,0-40,0.85652173913,230,3,-3
168,0-0,0-4,Serving,40-15,0.155619596542,347,4,2
169,0-0,4-0,Returning,15-40,0.844380403458,347,4,-2
170,0-0,0-4,Serving,40-30,0.149100257069,389,5,1
171,0-0,4-0,Returning,30-40,0.850899742931,389,5,-1
172,0-0,0-4,Serving,40-40,0.1,720,6,0
173,0-0,4-0,Returning,40-40,0.9,720,6,0
174,0-0,0-4,Serving,40-AD,0.100313479624,319,7,-1
175,0-0,4-0,Returning,AD-40,0.899686520376,319,7,1
176,0-0,0-4,Serving,AD-40,0.0997506234414,401,7,1
177,0-0,4-0,Returning,40-AD,0.900249376559,401,7,-1
178,0-0,0-4,Serving,Start of Game,0.132596685083,1267,0,0
179,0-0,4-0,Returning,Start of Game,0.867403314917,1267,0,0
180,0-0,0-5,Serving,0-15,0.104529616725,574,1,-1
181,0-0,5-0,Returning,15-0,0.895470383275,574,1,1
182,0-0,0-5,Serving,0-30,0.0882352941176,272,2,-2
183,0-0,5-0,Returning,30-0,0.911764705882,272,2,2
184,0-0,0-5,Serving,0-40,0.0444444444444,135,3,-3
185,0-0,5-0,Returning,40-0,0.955555555556,135,3,3
186,0-0,0-5,Serving,15-0,0.13474025974,616,1,1
187,0-0,5-0,Returning,0-15,0.86525974026,616,1,-1
188,0-0,0-5,Serving,15-15,0.120720720721,555,2,0
189,0-0,5-0,Returning,15-15,0.879279279279,555,2,0
190,0-0,0-5,Serving,15-30,0.108179419525,379,3,-1
191,0-0,5-0,Returning,30-15,0.891820580475,379,3,1
192,0-0,0-5,Serving,15-40,0.094262295082,244,4,-2
193,0-0,5-0,Returning,40-15,0.905737704918,244,4,2
194,0-0,0-5,Serving,30-0,0.143250688705,363,2,2
195,0-0,5-0,Returning,0-30,0.856749311295,363,2,-2
196,0-0,0-5,Serving,30-15,0.134529147982,446,3,1
197,0-0,5-0,Returning,15-30,0.865470852018,446,3,-1
198,0-0,0-5,Serving,30-30,0.0940860215054,372,4,0
199,0-0,5-0,Returning,30-30,0.905913978495,372,4,0
200,0-0,0-5,Serving,30-40,0.0971223021583,278,5,-1
201,0-0,5-0,Returning,40-30,0.902877697842,278,5,1
202,0-0,0-5,Serving,40-0,0.15652173913,230,3,3
203,0-0,5-0,Returning,0-40,0.84347826087,230,3,-3
204,0-0,0-5,Serving,40-15,0.173669467787,357,4,2
205,0-0,5-0,Returning,15-40,0.826330532213,357,4,-2
206,0-0,0-5,Serving,40-30,0.121951219512,369,5,1
207,0-0,5-0,Returning,30-40,0.878048780488,369,5,-1
208,0-0,0-5,Serving,40-40,0.108910891089,606,6,0
209,0-0,5-0,Returning,40-40,0.891089108911,606,6,0
210,0-0,0-5,Serving,40-AD,0.0880281690141,284,7,-1
211,0-0,5-0,Returning,AD-40,0.911971830986,284,7,1
212,0-0,0-5,Serving,AD-40,0.127329192547,322,7,1
213,0-0,5-0,Returning,40-AD,0.872670807453,322,7,-1
214,0-0,0-5,Serving,Start of Game,0.120168067227,1190,0,0
215,0-0,5-0,Returning,Start of Game,0.879831932773,1190,0,0
216,0-0,1-0,Serving,0-15,0.628406275805,2422,1,-1
217,0-0,0-1,Returning,15-0,0.371593724195,2422,1,1
218,0-0,1-0,Serving,0-30,0.596602972399,942,2,-2
219,0-0,0-1,Returning,30-0,0.403397027601,942,2,2
220,0-0,1-0,Serving,0-40,0.551020408163,392,3,-3
221,0-0,0-1,Returning,40-0,0.448979591837,392,3,3
222,0-0,1-0,Serving,15-0,0.72190062711,4146,1,1
223,0-0,0-1,Returning,0-15,0.27809937289,4146,1,-1
224,0-0,1-0,Serving,15-15,0.651530108588,3039,2,0
225,0-0,0-1,Returning,15-15,0.348469891412,3039,2,0
226,0-0,1-0,Serving,15-30,0.594705882353,1700,3,-1
227,0-0,0-1,Returning,30-15,0.405294117647,1700,3,1
228,0-0,1-0,Serving,15-40,0.538882803943,913,4,-2
