,Set Score,Game Score,Serving?,Point Score,% Win,Number of Instances,Points Elapsed,Y
1251,0-0,4-5,Returning,30-40,0.23061327927,1973,5,-1
1252,0-0,5-4,Serving,40-40,0.689084507042,2840,6,0
1253,0-0,4-5,Returning,40-40,0.310915492958,2840,6,0
1254,0-0,5-4,Serving,40-AD,0.624542124542,1092,7,-1
1255,0-0,4-5,Returning,AD-40,0.375457875458,1092,7,1
1256,0-0,5-4,Serving,AD-40,0.729405034325,1748,7,1
1257,0-0,4-5,Returning,40-AD,0.270594965675,1748,7,-1
1258,0-0,5-4,Serving,Start of Game,0.734296482412,6368,0,0
1259,0-0,4-5,Returning,Start of Game,0.265703517588,6368,0,0
1260,0-0,5-5,Serving,0-15,0.44236983842,2785,1,-1
1261,0-0,5-5,Returning,15-0,0.55763016158,2785,1,1
1262,0-0,5-5,Serving,0-30,0.366037735849,1060,2,-2
1263,0-0,5-5,Returning,30-0,0.633962264151,1060,2,2
1264,0-0,5-5,Serving,0-40,0.304761904762,420,3,-3
1265,0-0,5-5,Returning,40-0,0.695238095238,420,3,3
1266,0-0,5-5,Serving,15-0,0.535474072467,4609,1,1
1267,0-0,5-5,Returning,0-15,0.464525927533,4609,1,-1
1268,0-0,5-5,Serving,15-15,0.487841043891,3372,2,0
1269,0-0,5-5,Returning,15-15,0.512158956109,3372,2,0
1270,0-0,5-5,Serving,15-30,0.41317671093,1958,3,-1
1271,0-0,5-5,Returning,30-15,0.58682328907,1958,3,1
1272,0-0,5-5,Serving,15-40,0.320425943853,1033,4,-2
1273,0-0,5-5,Returning,40-15,0.679574056147,1033,4,2
1274,0-0,5-5,Serving,30-0,0.562795408508,2962,2,2
1275,0-0,5-5,Returning,0-30,0.437204591492,2962,2,-2
1276,0-0,5-5,Serving,30-15,0.531901041667,3072,3,1
1277,0-0,5-5,Returning,15-30,0.468098958333,3072,3,-1
1278,0-0,5-5,Serving,30-30,0.485006518905,2301,4,0
1279,0-0,5-5,Returning,30-30,0.514993481095,2301,4,0
1280,0-0,5-5,Serving,30-40,0.392223738063,1466,5,-1
1281,0-0,5-5,Returning,40-30,0.607776261937,1466,5,1
1282,0-0,5-5,Serving,40-0,0.580761316872,1944,3,3
1283,0-0,5-5,Returning,0-40,0.419238683128,1944,3,-3
1284,0-0,5-5,Serving,40-15,0.552256074046,2593,4,2
1285,0-0,5-5,Returning,15-40,0.447743925954,2593,4,-2
1286,0-0,5-5,Serving,40-30,0.519386450788,2347,5,1
1287,0-0,5-5,Returning,30-40,0.480613549212,2347,5,-1
1288,0-0,5-5,Serving,40-40,0.442969221485,3314,6,0
1289,0-0,5-5,Returning,40-40,0.557030778515,3314,6,0
1290,0-0,5-5,Serving,40-AD,0.356927710843,1328,7,-1
1291,0-0,5-5,Returning,AD-40,0.643072289157,1328,7,1
1292,0-0,5-5,Serving,AD-40,0.500251889169,1985,7,1
1293,0-0,5-5,Returning,40-AD,0.499748110831,1985,7,-1
1294,0-0,5-5,Serving,Start of Game,0.500405734379,7394,0,0
1295,0-0,5-5,Returning,Start of Game,0.499594265621,7394,0,0
1296,0-0,5-6,Serving,0-15,0.367946894263,2109,1,-1
1297,0-0,6-5,Returning,15-0,0.632053105737,2109,1,1
1298,0-0,5-6,Serving,0-30,0.291517323775,837,2,-2
1299,0-0,6-5,Returning,30-0,0.708482676225,837,2,2
1300,0-0,5-6,Serving,0-40,0.222222222222,324,3,-3
1301,0-0,6-5,Returning,40-0,0.777777777778,324,3,3
1302,0-0,5-6,Serving,15-0,0.463792617639,3549,1,1
1303,0-0,6-5,Returning,0-15,0.536207382361,3549,1,-1
1304,0-0,5-6,Serving,15-15,0.425224521671,2561,2,0
1305,0-0,6-5,Returning,15-15,0.574775478329,2561,2,0
1306,0-0,5-6,Serving,15-30,0.34181568088,1454,3,-1
1307,0-0,6-5,Returning,30-15,0.65818431912,1454,3,1
1308,0-0,5-6,Serving,15-40,0.249669749009,757,4,-2
1309,0-0,6-5,Returning,40-15,0.750330250991,757,4,2
1310,0-0,5-6,Serving,30-0,0.48185840708,2260,2,2
1311,0-0,6-5,Returning,0-30,0.51814159292,2260,2,-2
1312,0-0,5-6,Serving,30-15,0.467258132657,2367,3,1
1313,0-0,6-5,Returning,15-30,0.532741867343,2367,3,-1
1314,0-0,5-6,Serving,30-30,0.40937323546,1771,4,0
1315,0-0,6-5,Returning,30-30,0.59062676454,1771,4,0
1316,0-0,5-6,Serving,30-40,0.324755989352,1127,5,-1
1317,0-0,6-5,Returning,40-30,0.675244010648,1127,5,1
1318,0-0,5-6,Serving,40-0,0.493721083939,1513,3,3
1319,0-0,6-5,Returning,0-40,0.506278916061,1513,3,-3
1320,0-0,5-6,Serving,40-15,0.494939271255,1976,4,2
1321,0-0,6-5,Returning,15-40,0.505060728745,1976,4,-2
1322,0-0,5-6,Serving,40-30,0.455681818182,1760,5,1
1323,0-0,6-5,Returning,30-40,0.544318181818,1760,5,-1
1324,0-0,5-6,Serving,40-40,0.377968877969,2442,6,0
1325,0-0,6-5,Returning,40-40,0.622031122031,2442,6,0
1326,0-0,5-6,Serving,40-AD,0.281115879828,932,7,-1
1327,0-0,6-5,Returning,AD-40,0.718884120172,932,7,1
1328,0-0,5-6,Serving,AD-40,0.437748344371,1510,7,1
1329,0-0,6-5,Returning,40-AD,0.562251655629,1510,7,-1
1330,0-0,5-6,Serving,Start of Game,0.428066454578,5658,0,0
1331,0-0,6-5,Returning,Start of Game,0.571933545422,5658,0,0
1332,0-0,6-5,Serving,0-15,0.652470187394,587,1,-1
1333,0-0,5-6,Returning,15-0,0.347529812606,587,1,1
1334,0-0,6-5,Serving,0-30,0.615720524017,229,2,-2
1335,0-0,5-6,Returning,30-0,0.384279475983,229,2,2
1336,0-0,6-5,Serving,0-40,0.505617977528,89,3,-3
1337,0-0,5-6,Returning,40-0,0.494382022472,89,3,3
1338,0-0,6-5,Serving,15-0,0.773519163763,1148,1,1
1339,0-0,5-6,Returning,0-15,0.226480836237,1148,1,-1
1340,0-0,6-5,Serving,15-15,0.710858585859,792,2,0
1341,0-0,5-6,Returning,15-15,0.289141414141,792,2,0
1342,0-0,6-5,Serving,15-30,0.668903803132,447,3,-1
1343,0-0,5-6,Returning,30-15,0.331096196868,447,3,1
1344,0-0,6-5,Serving,15-40,0.576419213974,229,4,-2
1345,0-0,5-6,Returning,40-15,0.423580786026,229,4,2
1346,0-0,6-5,Serving,30-0,0.794117647059,714,2,2
1347,0-0,5-6,Returning,0-30,0.205882352941,714,2,-2
1348,0-0,6-5,Serving,30-15,0.739707835325,753,3,1
1349,0-0,5-6,Returning,15-30,0.260292164675,753,3,-1
1350,0-0,6-5,Serving,30-30,0.698384201077,557,4,0
1351,0-0,5-6,Returning,30-30,0.301615798923,557,4,0
1352,0-0,6-5,Serving,30-40,0.631720430108,372,5,-1
1353,0-0,5-6,Returning,40-30,0.368279569892,372,5,1
1354,0-0,6-5,Serving,40-0,0.829596412556,446,3,3
1355,0-0,5-6,Returning,0-40,0.170403587444,446,3,-3
1356,0-0,6-5,Serving,40-15,0.794701986755,604,4,2
1357,0-0,5-6,Returning,15-40,0.205298013245,604,4,-2
1358,0-0,6-5,Serving,40-30,0.75,540,5,1
1359,0-0,5-6,Returning,30-40,0.25,540,5,-1
1360,0-0,6-5,Serving,40-40,0.663513513514,740,6,0
1361,0-0,5-6,Returning,40-40,0.336486486486,740,6,0
1362,0-0,6-5,Serving,40-AD,0.538461538462,273,7,-1
1363,0-0,5-6,Returning,AD-40,0.461538461538,273,7,1
1364,0-0,6-5,Serving,AD-40,0.736616702355,467,7,1
1365,0-0,5-6,Returning,40-AD,0.263383297645,467,7,-1
1366,0-0,6-5,Serving,Start of Game,0.732564841499,1735,0,0
1367,0-0,5-6,Returning,Start of Game,0.267435158501,1735,0,0
1368,0-0,6-6,Serving,0-0 (S),0.501980404419,4797,0,0
1369,0-0,6-6,Returning,0-0 (R),0.498019595581,4797,0,0
1370,0-0,6-6,Returning,0-1 (S),0.444481382979,3008,1,-1
1371,0-0,6-6,Serving,1-0 (R),0.555518617021,3008,1,1
1372,0-0,6-6,Returning,0-2 (S),0.355996222852,1059,2,-2
1373,0-0,6-6,Serving,2-0 (R),0.644003777148,1059,2,2
1374,0-0,6-6,Serving,0-3 (S),0.317333333333,750,3,-3
1375,0-0,6-6,Returning,3-0 (R),0.682666666667,750,3,3
1376,0-0,6-6,Serving,0-4 (S),0.251633986928,306,4,-4
1377,0-0,6-6,Returning,4-0 (R),0.748366013072,306,4,4
1378,0-0,6-6,Returning,0-5 (S),0.196428571429,168,5,-5
1379,0-0,6-6,Serving,5-0 (R),0.803571428571,168,5,5
1380,0-0,6-6,Returning,0-6 (S),0.231884057971,69,6,-6
1381,0-0,6-6,Serving,6-0 (R),0.768115942029,69,6,6
1382,0-0,6-6,Returning,1-0 (S),0.588038010061,1789,1,1
1383,0-0,6-6,Serving,0-1 (R),0.411961989939,1789,1,-1
1384,0-0,6-6,Returning,1-1 (S),0.493822393822,2590,2,0
1385,0-0,6-6,Serving,1-1 (R),0.506177606178,2590,2,0
1386,0-0,6-6,Serving,1-2 (S),0.446663419386,2053,3,-1
1387,0-0,6-6,Returning,2-1 (R),0.553336580614,2053,3,1
1388,0-0,6-6,Serving,1-3 (S),0.332786885246,1220,4,-2
1389,0-0,6-6,Returning,3-1 (R),0.667213114754,1220,4,2
1390,0-0,6-6,Returning,1-4 (S),0.303721488595,833,5,-3
1391,0-0,6-6,Serving,4-1 (R),0.696278511405,833,5,3
1392,0-0,6-6,Returning,1-5 (S),0.231121281465,437,6,-4
1393,0-0,6-6,Serving,5-1 (R),0.768878718535,437,6,4
1394,0-0,6-6,Serving,1-6 (S),0.204968944099,322,7,-5
1395,0-0,6-6,Returning,6-1 (R),0.795031055901,322,7,5
1396,0-0,6-6,Returning,2-0 (S),0.63850174216,1148,2,2
1397,0-0,6-6,Serving,0-2 (R),0.36149825784,1148,2,-2
1398,0-0,6-6,Serving,2-1 (S),0.608558842039,1589,3,1
1399,0-0,6-6,Returning,1-2 (R),0.391441157961,1589,3,-1
1400,0-0,6-6,Serving,2-2 (S),0.527400976668,1843,4,0
1401,0-0,6-6,Returning,2-2 (R),0.472599023332,1843,4,0
1402,0-0,6-6,Returning,2-3 (S),0.432198142415,1615,5,-1
1403,0-0,6-6,Serving,3-2 (R),0.567801857585,1615,5,1
1404,0-0,6-6,Returning,2-4 (S),0.324593128391,1106,6,-2
1405,0-0,6-6,Serving,4-2 (R),0.675406871609,1106,6,2
1406,0-0,6-6,Serving,2-5 (S),0.263521288838,869,7,-3
1407,0-0,6-6,Returning,5-2 (R),0.736478711162,869,7,3
1408,0-0,6-6,Serving,2-6 (S),0.206597222222,576,8,-4
1409,0-0,6-6,Returning,6-2 (R),0.793402777778,576,8,4
1410,0-0,6-6,Serving,3-0 (S),0.706172839506,405,3,3
1411,0-0,6-6,Returning,0-3 (R),0.293827160494,405,3,-3
1412,0-0,6-6,Serving,3-1 (S),0.650301464255,1161,4,2
1413,0-0,6-6,Returning,1-3 (R),0.349698535745,1161,4,-2
1414,0-0,6-6,Returning,3-2 (S),0.597733711048,1412,5,1
1415,0-0,6-6,Serving,2-3 (R),0.402266288952,1412,5,-1
1416,0-0,6-6,Returning,3-3 (S),0.491147540984,1525,6,0
1417,0-0,6-6,Serving,3-3 (R),0.508852459016,1525,6,0
1418,0-0,6-6,Serving,3-4 (S),0.442089326268,1321,7,-1
1419,0-0,6-6,Returning,4-3 (R),0.557910673732,1321,7,1
1420,0-0,6-6,Serving,3-5 (S),0.336382113821,984,8,-2
1421,0-0,6-6,Returning,5-3 (R),0.663617886179,984,8,2
1422,0-0,6-6,Returning,3-6 (S),0.2313860252,873,9,-3
1423,0-0,6-6,Serving,6-3 (R),0.7686139748,873,9,3
1424,0-0,6-6,Serving,4-0 (S),0.741573033708,267,4,4
1425,0-0,6-6,Returning,0-4 (R),0.258426966292,267,4,-4
1426,0-0,6-6,Returning,4-1 (S),0.711356466877,634,5,3
1427,0-0,6-6,Serving,1-4 (R),0.288643533123,634,5,-3
1428,0-0,6-6,Returning,4-2 (S),0.658802177858,1102,6,2
1429,0-0,6-6,Serving,2-4 (R),0.341197822142,1102,6,-2
1430,0-0,6-6,Serving,4-3 (S),0.631060606061,1320,7,1
1431,0-0,6-6,Returning,3-4 (R),0.368939393939,1320,7,-1
1432,0-0,6-6,Serving,4-4 (S),0.501927525058,1297,8,0
1433,0-0,6-6,Returning,4-4 (R),0.498072474942,1297,8,0
1434,0-0,6-6,Returning,4-5 (S),0.433333333333,1200,9,-1
1435,0-0,6-6,Serving,5-4 (R),0.566666666667,1200,9,1
1436,0-0,6-6,Returning,4-6 (S),0.273396424816,951,10,-2
1437,0-0,6-6,Serving,6-4 (R),0.726603575184,951,10,2
1438,0-0,6-6,Returning,5-0 (S),0.813432835821,134,5,5
1439,0-0,6-6,Serving,0-5 (R),0.186567164179,134,5,-5
1440,0-0,6-6,Returning,5-1 (S),0.781584582441,467,6,4
1441,0-0,6-6,Serving,1-5 (R),0.218415417559,467,6,-4
1442,0-0,6-6,Serving,5-2 (S),0.747303543914,649,7,3
1443,0-0,6-6,Returning,2-5 (R),0.252696456086,649,7,-3
1444,0-0,6-6,Serving,5-3 (S),0.689753320683,1054,8,2
1445,0-0,6-6,Returning,3-5 (R),0.310246679317,1054,8,-2
1446,0-0,6-6,Returning,5-4 (S),0.623364485981,1070,9,1
1447,0-0,6-6,Serving,4-5 (R),0.376635514019,1070,9,-1
1448,0-0,6-6,Returning,5-5 (S),0.498214285714,1120,10,0
1449,0-0,6-6,Serving,5-5 (R),0.501785714286,1120,10,0
1450,0-0,6-6,Serving,5-6 (S),0.401174168297,1022,11,-1
1451,0-0,6-6,Returning,6-5 (R),0.598825831703,1022,11,1
1452,0-0,6-6,Returning,6-0 (S),0.808988764045,89,6,6
1453,0-0,6-6,Serving,0-6 (R),0.191011235955,89,6,-6
1454,0-0,6-6,Serving,6-1 (S),0.795454545455,220,7,5
1455,0-0,6-6,Returning,1-6 (R),0.204545454545,220,7,-5
1456,0-0,6-6,Serving,6-2 (S),0.791423001949,513,8,4
1457,0-0,6-6,Returning,2-6 (R),0.208576998051,513,8,-4
1458,0-0,6-6,Returning,6-3 (S),0.756643356643,715,9,3
1459,0-0,6-6,Serving,3-6 (R),0.243356643357,715,9,-3
1460,0-0,6-6,Returning,6-4 (S),0.720042417815,943,10,2
1461,0-0,6-6,Serving,4-6 (R),0.279957582185,943,10,-2
1462,0-0,6-6,Serving,6-5 (S),0.687007874016,1016,11,1
1463,0-0,6-6,Returning,5-6 (R),0.312992125984,1016,11,-1
1464,0-0,6-6,Serving,6-6 (S),0.496732026144,2142,12,0
1465,0-0,6-6,Returning,6-6 (R),0.503267973856,2142,12,0
1466,0-0,6-6,Returning,6-7 (S),0.403860430586,1347,13,-1
1467,0-0,6-6,Serving,7-6 (R),0.596139569414,1347,13,1
1468,0-0,6-6,Returning,7-6 (S),0.666666666667,795,13,1
1469,0-0,6-6,Serving,6-7 (R),0.333333333333,795,13,-1
1470,0-1,0-0,Serving,0-15,0.150305188199,7864,1,-1
1471,1-0,0-0,Returning,15-0,0.849694811801,7864,1,1
1472,0-1,0-0,Serving,0-30,0.116333043226,3447,2,-2
1473,1-0,0-0,Returning,30-0,0.883666956774,3447,2,2
1474,0-1,0-0,Serving,0-40,0.0822192513369,1496,3,-3
1475,1-0,0-0,Returning,40-0,0.917780748663,1496,3,3
1476,0-1,0-0,Serving,15-0,0.197111454265,11009,1,1
1477,1-0,0-0,Returning,0-15,0.802888545735,11009,1,-1
1478,0-1,0-0,Serving,15-15,0.17747707448,8942,2,0
1479,1-0,0-0,Returning,15-15,0.82252292552,8942,2,0
1480,0-1,0-0,Serving,15-30,0.1414427157,5656,3,-1
1481,1-0,0-0,Returning,30-15,0.8585572843,5656,3,1
1482,0-1,0-0,Serving,15-40,0.102021772939,3215,4,-2
1483,1-0,0-0,Returning,40-15,0.897978227061,3215,4,2
1484,0-1,0-0,Serving,30-0,0.210363972856,6484,2,2
1485,1-0,0-0,Returning,0-30,0.789636027144,6484,2,-2
1486,0-1,0-0,Serving,30-15,0.200491209928,7736,3,1
1487,1-0,0-0,Returning,15-30,0.799508790072,7736,3,-1
1488,0-1,0-0,Serving,30-30,0.169290724864,6415,4,0
1489,1-0,0-0,Returning,30-30,0.830709275136,6415,4,0
1490,0-1,0-0,Serving,30-40,0.127922661871,4448,5,-1
1491,1-0,0-0,Returning,40-30,0.872077338129,4448,5,1
1492,0-1,0-0,Serving,40-0,0.220326223338,3985,3,3
1493,1-0,0-0,Returning,0-40,0.779673776662,3985,3,-3
1494,0-1,0-0,Serving,40-15,0.215374309161,5971,4,2
1495,1-0,0-0,Returning,15-40,0.784625690839,5971,4,-2
1496,0-1,0-0,Serving,40-30,0.195383615085,6152,5,1
1497,1-0,0-0,Returning,30-40,0.804616384915,6152,5,-1
1498,0-1,0-0,Serving,40-40,0.165377176015,9306,6,0
1499,1-0,0-0,Returning,40-40,0.834622823985,9306,6,0
1500,0-1,0-0,Serving,40-AD,0.120293151377,3957,7,-1
1501,1-0,0-0,Returning,AD-40,0.879706848623,3957,7,1
1502,0-1,0-0,Serving,AD-40,0.19880306714,5347,7,1
1503,1-0,0-0,Returning,40-AD,0.80119693286,5347,7,-1
1504,0-1,0-0,Serving,Start of Game,0.177608223388,18873,0,0
1505,1-0,0-0,Returning,Start of Game,0.822391776612,18873,0,0
1506,0-1,0-1,Serving,0-15,0.114886265477,3473,1,-1
1507,1-0,1-0,Returning,15-0,0.885113734523,3473,1,1
1508,0-1,0-1,Serving,0-30,0.0878334417697,1537,2,-2
1509,1-0,1-0,Returning,30-0,0.91216655823,1537,2,2
1510,0-1,0-1,Serving,0-40,0.0542857142857,700,3,-3
1511,1-0,1-0,Returning,40-0,0.945714285714,700,3,3
1512,0-1,0-1,Serving,15-0,0.149174777825,4726,1,1
1513,1-0,1-0,Returning,0-15,0.850825222175,4726,1,-1
1514,0-1,0-1,Serving,15-15,0.130302260605,3937,2,0
1515,1-0,1-0,Returning,15-15,0.869697739395,3937,2,0
1516,0-1,0-1,Serving,15-30,0.108864696734,2572,3,-1
1517,1-0,1-0,Returning,30-15,0.891135303266,2572,3,1
1518,0-1,0-1,Serving,15-40,0.0673575129534,1544,4,-2
1519,1-0,1-0,Returning,40-15,0.932642487047,1544,4,2
1520,0-1,0-1,Serving,30-0,0.167339449541,2725,2,2
1521,1-0,1-0,Returning,0-30,0.832660550459,2725,2,-2
1522,0-1,0-1,Serving,30-15,0.149348682218,3301,3,1
1523,1-0,1-0,Returning,15-30,0.850651317782,3301,3,-1
1524,0-1,0-1,Serving,30-30,0.134350036311,2754,4,0
1525,1-0,1-0,Returning,30-30,0.865649963689,2754,4,0
1526,0-1,0-1,Serving,30-40,0.0945744151319,2009,5,-1
1527,1-0,1-0,Returning,40-30,0.905425584868,2009,5,1
1528,0-1,0-1,Serving,40-0,0.179692307692,1625,3,3
1529,1-0,1-0,Returning,0-40,0.820307692308,1625,3,-3
1530,0-1,0-1,Serving,40-15,0.164883075704,2523,4,2
1531,1-0,1-0,Returning,15-40,0.835116924296,2523,4,-2
1532,0-1,0-1,Serving,40-30,0.148821028218,2587,5,1
1533,1-0,1-0,Returning,30-40,0.851178971782,2587,5,-1
1534,0-1,0-1,Serving,40-40,0.117536436295,4254,6,0
1535,1-0,1-0,Returning,40-40,0.882463563705,4254,6,0
1536,0-1,0-1,Serving,40-AD,0.0994623655914,1860,7,-1
1537,1-0,1-0,Returning,AD-40,0.900537634409,1860,7,1
1538,0-1,0-1,Serving,AD-40,0.131633932303,2393,7,1
1539,1-0,1-0,Returning,40-AD,0.868366067697,2393,7,-1
1540,0-1,0-1,Serving,Start of Game,0.134650567142,8199,0,0
1541,1-0,1-0,Returning,Start of Game,0.865349432858,8199,0,0
1542,0-1,0-2,Serving,0-15,0.0403854979348,2179,1,-1
1543,1-0,2-0,Returning,15-0,0.959614502065,2179,1,1
1544,0-1,0-2,Serving,0-30,0.0315789473684,1045,2,-2
1545,1-0,2-0,Returning,30-0,0.968421052632,1045,2,2
1546,0-1,0-2,Serving,0-40,0.015009380863,533,3,-3
1547,1-0,2-0,Returning,40-0,0.984990619137,533,3,3
1548,0-1,0-2,Serving,15-0,0.0657206870799,2678,1,1
1549,1-0,2-0,Returning,0-15,0.93427931292,2678,1,-1
1550,0-1,0-2,Serving,15-15,0.0523998238661,2271,2,0
1551,1-0,2-0,Returning,15-15,0.947600176134,2271,2,0
1552,0-1,0-2,Serving,15-30,0.0434500648508,1542,3,-1
1553,1-0,2-0,Returning,30-15,0.956549935149,1542,3,1
1554,0-1,0-2,Serving,15-40,0.0213631739573,983,4,-2
1555,1-0,2-0,Returning,40-15,0.978636826043,983,4,2
1556,0-1,0-2,Serving,30-0,0.0726800778715,1541,2,2
1557,1-0,2-0,Returning,0-30,0.927319922128,1541,2,-2
1558,0-1,0-2,Serving,30-15,0.0658105939005,1869,3,1
1559,1-0,2-0,Returning,15-30,0.9341894061,1869,3,-1
1560,0-1,0-2,Serving,30-30,0.0506634499397,1658,4,0
1561,1-0,2-0,Returning,30-30,0.94933655006,1658,4,0
1562,0-1,0-2,Serving,30-40,0.032310177706,1238,5,-1
1563,1-0,2-0,Returning,40-30,0.967689822294,1238,5,1
1564,0-1,0-2,Serving,40-0,0.0722891566265,913,3,3
1565,1-0,2-0,Returning,0-40,0.927710843373,913,3,-3
1566,0-1,0-2,Serving,40-15,0.07982893799,1403,4,2
1567,1-0,2-0,Returning,15-40,0.92017106201,1403,4,-2
1568,0-1,0-2,Serving,40-30,0.0663956639566,1476,5,1
1569,1-0,2-0,Returning,30-40,0.933604336043,1476,5,-1
1570,0-1,0-2,Serving,40-40,0.0448637316562,2385,6,0
1571,1-0,2-0,Returning,40-40,0.955136268344,2385,6,0
1572,0-1,0-2,Serving,40-AD,0.0284664830119,1089,7,-1
1573,1-0,2-0,Returning,AD-40,0.971533516988,1089,7,1
1574,0-1,0-2,Serving,AD-40,0.0586872586873,1295,7,1
1575,1-0,2-0,Returning,40-AD,0.941312741313,1295,7,-1
1576,0-1,0-2,Serving,Start of Game,0.0543545398394,4857,0,0
1577,1-0,2-0,Returning,Start of Game,0.945645460161,4857,0,0
1578,0-1,0-3,Serving,0-15,0.0197368421053,1064,1,-1
1579,1-0,3-0,Returning,15-0,0.980263157895,1064,1,1
1580,0-1,0-3,Serving,0-30,0.0207547169811,530,2,-2
1581,1-0,3-0,Returning,30-0,0.979245283019,530,2,2
1582,0-1,0-3,Serving,0-40,0.00389105058366,257,3,-3
1583,1-0,3-0,Returning,40-0,0.996108949416,257,3,3
1584,0-1,0-3,Serving,15-0,0.0438184663537,1278,1,1
1585,1-0,3-0,Returning,0-15,0.956181533646,1278,1,-1
1586,0-1,0-3,Serving,15-15,0.0246350364964,1096,2,0
1587,1-0,3-0,Returning,15-15,0.975364963504,1096,2,0
1588,0-1,0-3,Serving,15-30,0.023166023166,777,3,-1
1589,1-0,3-0,Returning,30-15,0.976833976834,777,3,1
1590,0-1,0-3,Serving,15-40,0.0159680638723,501,4,-2
1591,1-0,3-0,Returning,40-15,0.984031936128,501,4,2
1592,0-1,0-3,Serving,30-0,0.054469273743,716,2,2
1593,1-0,3-0,Returning,0-30,0.945530726257,716,2,-2
1594,0-1,0-3,Serving,30-15,0.0354767184035,902,3,1
1595,1-0,3-0,Returning,15-30,0.964523281596,902,3,-1
1596,0-1,0-3,Serving,30-30,0.0271604938272,810,4,0
1597,1-0,3-0,Returning,30-30,0.972839506173,810,4,0
1598,0-1,0-3,Serving,30-40,0.0240137221269,583,5,-1
1599,1-0,3-0,Returning,40-30,0.975986277873,583,5,1
1600,0-1,0-3,Serving,40-0,0.064039408867,406,3,3
1601,1-0,3-0,Returning,0-40,0.935960591133,406,3,-3
1602,0-1,0-3,Serving,40-15,0.0447530864198,648,4,2
1603,1-0,3-0,Returning,15-40,0.95524691358,648,4,-2
1604,0-1,0-3,Serving,40-30,0.0326241134752,705,5,1
1605,1-0,3-0,Returning,30-40,0.967375886525,705,5,-1
1606,0-1,0-3,Serving,40-40,0.0271381578947,1216,6,0
1607,1-0,3-0,Returning,40-40,0.972861842105,1216,6,0
1608,0-1,0-3,Serving,40-AD,0.0181488203267,551,7,-1
1609,1-0,3-0,Returning,AD-40,0.981851179673,551,7,1
1610,0-1,0-3,Serving,AD-40,0.0345864661654,665,7,1
1611,1-0,3-0,Returning,40-AD,0.965413533835,665,7,-1
1612,0-1,0-3,Serving,Start of Game,0.032877882152,2342,0,0
1613,1-0,3-0,Returning,Start of Game,0.967122117848,2342,0,0
1614,0-1,0-4,Serving,0-15,0.001287001287,777,1,-1
1615,1-0,4-0,Returning,15-0,0.998712998713,777,1,1
1616,0-1,0-4,Serving,0-30,0.0027027027027,370,2,-2
1617,1-0,4-0,Returning,30-0,0.997297297297,370,2,2
1618,0-1,0-4,Serving,0-40,0.0,209,3,-3
1619,1-0,4-0,Returning,40-0,1.0,209,3,3
1620,0-1,0-4,Serving,15-0,0.00749063670412,801,1,1
1621,1-0,4-0,Returning,0-15,0.992509363296,801,1,-1
1622,0-1,0-4,Serving,15-15,0.00131926121372,758,2,0
1623,1-0,4-0,Returning,15-15,0.998680738786,758,2,0
1624,0-1,0-4,Serving,15-30,0.0038240917782,523,3,-1
1625,1-0,4-0,Returning,30-15,0.996175908222,523,3,1
1626,0-1,0-4,Serving,15-40,0.0,357,4,-2
1627,1-0,4-0,Returning,40-15,1.0,357,4,2
1628,0-1,0-4,Serving,30-0,0.0111111111111,450,2,2
1629,1-0,4-0,Returning,0-30,0.988888888889,450,2,-2
1630,0-1,0-4,Serving,30-15,0.00173010380623,578,3,1
1631,1-0,4-0,Returning,15-30,0.998269896194,578,3,-1
1632,0-1,0-4,Serving,30-30,0.006,500,4,0
1633,1-0,4-0,Returning,30-30,0.994,500,4,0
1634,0-1,0-4,Serving,30-40,0.00248756218905,402,5,-1
1635,1-0,4-0,Returning,40-30,0.997512437811,402,5,1
1636,0-1,0-4,Serving,40-0,0.0149253731343,268,3,3
1637,1-0,4-0,Returning,0-40,0.985074626866,268,3,-3
1638,0-1,0-4,Serving,40-15,0.00220750551876,453,4,2
1639,1-0,4-0,Returning,15-40,0.997792494481,453,4,-2
1640,0-1,0-4,Serving,40-30,0.00614754098361,488,5,1
1641,1-0,4-0,Returning,30-40,0.993852459016,488,5,-1
1642,0-1,0-4,Serving,40-40,0.00376884422111,796,6,0
1643,1-0,4-0,Returning,40-40,0.996231155779,796,6,0
1644,0-1,0-4,Serving,40-AD,0.00255754475703,391,7,-1
1645,1-0,4-0,Returning,AD-40,0.997442455243,391,7,1
1646,0-1,0-4,Serving,AD-40,0.00493827160494,405,7,1
1647,1-0,4-0,Returning,40-AD,0.995061728395,405,7,-1
1648,0-1,0-4,Serving,Start of Game,0.00443599493029,1578,0,0
1649,1-0,4-0,Returning,Start of Game,0.99556400507,1578,0,0
1650,0-1,0-5,Serving,0-15,0.0,400,1,-1
1651,1-0,5-0,Returning,15-0,1.0,400,1,1
1652,0-1,0-5,Serving,0-30,0.0,208,2,-2
1653,1-0,5-0,Returning,30-0,1.0,208,2,2
1654,0-1,0-5,Serving,0-40,0.0,117,3,-3
1655,1-0,5-0,Returning,40-0,1.0,117,3,3
1656,0-1,0-5,Serving,15-0,0.00240384615385,416,1,1
1657,1-0,5-0,Returning,0-15,0.997596153846,416,1,-1
1658,0-1,0-5,Serving,15-15,0.0,391,2,0
1659,1-0,5-0,Returning,15-15,1.0,391,2,0
1660,0-1,0-5,Serving,15-30,0.0,278,3,-1
1661,1-0,5-0,Returning,30-15,1.0,278,3,1
